"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2007年28週
"集計期間終了週",2007年28週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","2","1","3","287"
"RSウイルス感染症","2","0","2","149"
"咽頭結膜熱","60","56","116","149"
"Ａ群溶血性レンサ球菌咽頭炎","135","100","235","149"
"感染性胃腸炎","361","330","691","149"
"水痘","64","56","120","149"
"手足口病","154","122","276","149"
"伝染性紅斑","35","31","66","149"
"突発性発しん","54","52","106","149"
"百日咳","0","0","0","149"
"風しん","0","0","0","149"
"ヘルパンギーナ","421","364","785","149"
"麻しん（成人麻しん以外）","6","5","11","149"
"流行性耳下腺炎","30","26","56","149"
"不明発しん症","10","7","17","149"
"川崎病","5","2","7","149"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","9","12","21","38"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","1","0","1","25"
"マイコプラズマ肺炎","3","4","7","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"成人麻しん","1","3","4","25"
