"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2011年9月"
"集計期間終了月","2011年9月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","5","1","0","0"
"1～4歳","0","0","0","0","0","0","6","11","0","0"
"5～9歳","0","0","0","0","0","0","3","4","0","0"
"10～14歳","0","0","0","0","0","0","1","0","0","0"
"15～19歳","3","0","2","4","0","0","2","0","0","0"
"20～24歳","18","4","5","6","0","4","1","0","0","0"
"25～29歳","26","5","12","18","0","4","1","1","0","0"
"30～34歳","23","16","7","24","1","0","3","0","0","0"
"35～39歳","19","9","8","9","0","1","2","0","0","0"
"40～44歳","18","7","2","7","0","2","1","2","0","0"
"45～49歳","11","11","4","8","0","0","3","1","0","0"
"50～54歳","5","5","5","4","1","0","0","0","0","0"
"55～59歳","2","3","1","4","0","0","5","0","1","0"
"60～64歳","5","5","0","2","0","0","3","0","0","0"
"65～69歳","1","2","0","1","0","0","2","0","1","0"
"70歳以上","1","3","0","1","0","0","28","5","1","0"
"合計","132","70","46","88","2","11","66","25","3","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2011年9月"
"集計期間終了月","2011年9月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","6","2","0","0"
"1～4歳","0","0","0","0","0","0","2","8","0","0"
"5～9歳","0","0","0","0","0","0","2","1","0","0"
"10～14歳","1","0","0","0","0","0","0","1","0","0"
"15～19歳","15","2","1","1","1","0","0","0","0","0"
"20～24歳","27","11","9","5","1","0","0","0","0","0"
"25～29歳","25","7","10","4","2","0","0","1","0","0"
"30～34歳","11","4","2","2","0","0","1","0","0","0"
"35～39歳","6","8","1","0","0","0","1","0","0","0"
"40～44歳","3","2","0","1","2","0","0","0","0","0"
"45～49歳","0","3","0","2","1","0","1","0","0","0"
"50～54歳","0","3","1","0","0","0","1","0","0","0"
"55～59歳","0","2","0","0","1","0","0","0","0","0"
"60～64歳","0","0","0","0","0","0","1","1","0","0"
"65～69歳","0","1","0","0","0","0","2","0","0","0"
"70歳以上","0","1","0","0","1","0","11","4","0","0"
"合計","88","44","24","15","9","0","28","18","0","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2011年9月"
"集計期間終了月","2011年9月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","11","3","0","0"
"1～4歳","0","0","0","0","0","0","8","19","0","0"
"5～9歳","0","0","0","0","0","0","5","5","0","0"
"10～14歳","1","0","0","0","0","0","1","1","0","0"
"15～19歳","18","2","3","5","1","0","2","0","0","0"
"20～24歳","45","15","14","11","1","4","1","0","0","0"
"25～29歳","51","12","22","22","2","4","1","2","0","0"
"30～34歳","34","20","9","26","1","0","4","0","0","0"
"35～39歳","25","17","9","9","0","1","3","0","0","0"
"40～44歳","21","9","2","8","2","2","1","2","0","0"
"45～49歳","11","14","4","10","1","0","4","1","0","0"
"50～54歳","5","8","6","4","1","0","1","0","0","0"
"55～59歳","2","5","1","4","1","0","5","0","1","0"
"60～64歳","5","5","0","2","0","0","4","1","0","0"
"65～69歳","1","3","0","1","0","0","4","0","1","0"
"70歳以上","1","4","0","1","1","0","39","9","1","0"
"合計","220","114","70","103","11","11","94","43","3","0"
"定点数","55","55","55","55","55","55","25","25","25","25"


