"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2023年27週"
"集計期間終了週","2023年27週"
"性別","男性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"～5ヶ月","1","8","22","0","0","6","0","1","0","1","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"～1歳","3","18","51","1","0","40","0","12","0","12","59","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","5","29","113","20","4","74","0","16","2","18","189","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","6","18","75","6","5","50","0","29","1","1","171","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","12","13","43","6","17","64","0","18","0","3","160","2","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"4歳","9","8","30","5","30","61","3","18","2","0","163","1","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1"
"5歳","19","7","10","2","29","59","3","14","1","0","139","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","15","18","5","4","31","64","1","5","0","1","69","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","35","13","3","1","13","53","5","4","0","0","39","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","18","19","0","2","22","38","2","4","0","0","26","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
