"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2012年20週
"集計期間終了週",2012年20週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","50","41","91","416"
"RSウイルス感染症","14","12","26","261"
"咽頭結膜熱","43","50","93","261"
"Ａ群溶血性レンサ球菌咽頭炎","465","383","848","261"
"感染性胃腸炎","1175","1106","2281","261"
"水痘","112","97","209","261"
"手足口病","14","15","29","261"
"伝染性紅斑","27","20","47","261"
"突発性発しん","107","93","200","261"
"百日咳","3","2","5","261"
"ヘルパンギーナ","6","10","16","261"
"流行性耳下腺炎","41","34","75","261"
"不明発しん症","8","6","14","261"
"川崎病","1","1","2","261"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","22","22","44","38"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","4","1","5","25"
"マイコプラズマ肺炎","8","7","15","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"インフルエンザ入院","1","0","1","25"
