"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2025年2月"
"集計期間終了月","2025年2月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","0","1","0"
"1～4歳","0","0","0","0","0","0","0","0","0"
"5～9歳","0","0","0","0","0","0","1","1","0"
"10～14歳","0","0","0","0","0","0","2","1","0"
"15～19歳","1","0","0","0","0","0","0","0","0"
"20～24歳","11","0","2","5","0","0","0","0","0"
"25～29歳","25","3","3","8","0","0","0","0","0"
"30～34歳","13","6","9","4","0","0","1","0","0"
"35～39歳","8","3","4","2","0","0","0","0","0"
"40～44歳","2","1","2","5","0","0","0","0","0"
"45～49歳","13","3","5","4","0","0","0","0","0"
"50～54歳","1","5","2","1","0","0","2","0","0"
"55～59歳","2","0","5","0","0","0","1","2","0"
"60～64歳","1","1","0","0","0","0","3","0","0"
"65～69歳","1","0","0","0","0","0","2","0","0"
"70歳以上","2","1","0","0","0","0","14","1","0"
"合計","80","23","32","29","0","0","26","6","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2025年2月"
"集計期間終了月","2025年2月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","0","1","0"
"1～4歳","0","0","0","0","0","0","0","1","0"
"5～9歳","0","0","0","0","0","0","0","0","0"
"10～14歳","0","0","0","0","0","0","0","0","0"
"15～19歳","6","0","0","0","0","0","1","0","0"
"20～24歳","23","3","3","6","1","0","0","0","0"
"25～29歳","25","4","2","5","1","0","0","0","0"
"30～34歳","12","3","1","2","1","0","0","0","0"
"35～39歳","6","4","0","1","0","0","2","0","1"
"40～44歳","2","0","0","0","1","0","1","0","0"
"45～49歳","4","2","1","1","0","0","0","1","0"
"50～54歳","3","2","1","2","0","0","0","0","0"
"55～59歳","0","0","0","1","0","0","1","0","0"
"60～64歳","1","1","0","0","0","0","1","0","0"
"65～69歳","0","0","0","0","0","0","0","0","0"
"70歳以上","0","1","0","0","0","0","12","2","0"
"合計","82","20","8","18","4","0","18","5","1"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2025年2月"
"集計期間終了月","2025年2月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","0","2","0"
"1～4歳","0","0","0","0","0","0","0","1","0"
"5～9歳","0","0","0","0","0","0","1","1","0"
"10～14歳","0","0","0","0","0","0","2","1","0"
"15～19歳","7","0","0","0","0","0","1","0","0"
"20～24歳","34","3","5","11","1","0","0","0","0"
"25～29歳","50","7","5","13","1","0","0","0","0"
"30～34歳","25","9","10","6","1","0","1","0","0"
"35～39歳","14","7","4","3","0","0","2","0","1"
"40～44歳","4","1","2","5","1","0","1","0","0"
"45～49歳","17","5","6","5","0","0","0","1","0"
"50～54歳","4","7","3","3","0","0","2","0","0"
"55～59歳","2","0","5","1","0","0","2","2","0"
"60～64歳","2","2","0","0","0","0","4","0","0"
"65～69歳","1","0","0","0","0","0","2","0","0"
"70歳以上","2","2","0","0","0","0","26","3","0"
"合計","162","43","40","47","4","0","44","11","1"
"定点数","53","53","53","53","53","53","25","25","25"


