"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2016年2週
"集計期間終了週",2016年2週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","830","743","1573","416"
"RSウイルス感染症","50","38","88","262"
"咽頭結膜熱","26","25","51","262"
"Ａ群溶血性レンサ球菌咽頭炎","361","255","616","262"
"感染性胃腸炎","1168","1085","2253","262"
"水痘","85","57","142","262"
"手足口病","11","5","16","262"
"伝染性紅斑","50","60","110","262"
"突発性発しん","72","61","133","262"
"百日咳","0","0","0","262"
"ヘルパンギーナ","5","0","5","262"
"流行性耳下腺炎","98","94","192","262"
"不明発しん症","5","10","15","262"
"川崎病","0","1","1","262"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","14","9","23","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","17","12","29","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","5","4","9","25"
