"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2024年5週"
"集計期間終了週","2024年5週"
"性別","男性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","11","20","0","3","1","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","2","","","","","",""
"中央区","28","13","0","0","6","18","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","56","37","1","0","25","21","1","0","1","2","0","0","0","0","0","0","0","0","0","0","0","1","6","","","","","",""
"新宿区","79","40","0","4","16","20","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"文京","89","29","0","2","5","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","","","","","",""
"台東","47","24","1","0","10","43","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","88","61","0","1","6","16","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","4","","","","","",""
"江東区","79","68","0","0","12","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","86","32","0","0","14","30","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","94","27","1","2","15","13","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","230","88","0","8","36","96","0","1","0","3","0","1","0","0","0","0","0","0","0","0","0","5","3","","","","","",""
"世田谷","314","99","0","3","23","79","1","1","0","3","0","0","0","0","0","0","0","1","0","0","0","3","13","","","","","",""
"渋谷区","47","18","1","0","1","16","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","11","","","","","",""
"中野区","139","64","0","1","19","41","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","143","62","0","5","17","41","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","11","","","","","",""
"池袋","50","61","0","0","3","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","76","86","0","4","17","25","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","120","41","0","2","14","40","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","157","66","0","0","24","41","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","","","","","",""
"練馬区","263","105","0","3","34","66","0","1","0","1","1","2","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"足立","192","100","0","12","28","47","0","1","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","165","57","0","0","15","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","","","","","",""
"江戸川","289","130","0","1","31","82","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"八王子市","317","170","1","2","38","88","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","5","","","","","",""
"町田市","153","84","0","2","17","41","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","94","53","0","0","4","27","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","1","2","","","","","",""
"南多摩","141","86","0","2","7","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","276","125","0","2","53","50","2","1","0","3","0","2","0","0","0","0","0","0","0","0","0","0","6","","","","","",""
"多摩府中","485","218","0","3","44","140","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","8","16","","","","","",""
"多摩小平","339","161","1","10","51","115","1","0","0","5","0","0","0","1","0","0","0","0","0","0","0","3","12","","","","","",""
"島しょ","4","50","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","4651","2275","6","72","587","1334","11","10","13","33","1","7","1","2","0","3","0","1","0","0","0","27","106","","","","","",""


"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2024年5週"
"集計期間終了週","2024年5週"
"性別","女性"

