"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2006年3週
"集計期間終了週",2006年3週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","1519","1476","2995","178"
"RSウイルス感染症","19","12","31","142"
"咽頭結膜熱","19","18","37","142"
"Ａ群溶血性レンサ球菌咽頭炎","145","132","277","142"
"感染性胃腸炎","638","654","1292","142"
"水痘","86","66","152","142"
"手足口病","3","3","6","142"
"伝染性紅斑","37","31","68","142"
"突発性発しん","40","31","71","142"
"百日咳","0","1","1","142"
"風しん","0","0","0","142"
"ヘルパンギーナ","3","5","8","142"
"麻しん（成人麻しん以外）","1","0","1","142"
"流行性耳下腺炎","45","44","89","142"
"不明発しん症","4","4","8","142"
"川崎病","2","0","2","142"
"急性出血性結膜炎","0","0","0","14"
"流行性角結膜炎","3","3","6","14"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","2","0","2","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"成人麻しん","0","0","0","25"
