"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2017年45週
"集計期間終了週",2017年45週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","101","125","226","418"
"RSウイルス感染症","54","31","85","263"
"咽頭結膜熱","89","76","165","263"
"Ａ群溶血性レンサ球菌咽頭炎","367","329","696","263"
"感染性胃腸炎","742","642","1384","263"
"水痘","86","71","157","263"
"手足口病","196","173","369","263"
"伝染性紅斑","17","10","27","263"
"突発性発しん","67","71","138","263"
"百日咳","0","1","1","263"
"ヘルパンギーナ","35","37","72","263"
"流行性耳下腺炎","32","16","48","263"
"不明発しん症","7","15","22","263"
"川崎病","2","3","5","263"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","13","13","26","39"
"細菌性髄膜炎","0","1","1","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","5","6","11","25"
"クラミジア肺炎(オウム病は除く)","0","1","1","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","1","0","1","25"
