"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2006年12週
"集計期間終了週",2006年12週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","146","138","284","178"
"RSウイルス感染症","2","1","3","142"
"咽頭結膜熱","23","21","44","142"
"Ａ群溶血性レンサ球菌咽頭炎","168","154","322","142"
"感染性胃腸炎","475","446","921","142"
"水痘","133","102","235","142"
"手足口病","0","3","3","142"
"伝染性紅斑","28","32","60","142"
"突発性発しん","33","34","67","142"
"百日咳","0","0","0","142"
"風しん","0","1","1","142"
"ヘルパンギーナ","6","5","11","142"
"麻しん（成人麻しん以外）","0","0","0","142"
"流行性耳下腺炎","57","69","126","142"
"不明発しん症","3","4","7","142"
"川崎病","0","0","0","142"
"急性出血性結膜炎","1","0","1","14"
"流行性角結膜炎","7","5","12","14"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","4","0","4","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"成人麻しん","0","0","0","25"
