"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2023年24週
"集計期間終了週",2023年24週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","305","245","550","414"
"新型コロナウイルス感染症（COVID-19）","1194","1228","2422","414"
"RSウイルス感染症","298","306","604","260"
"咽頭結膜熱","86","48","134","260"
"Ａ群溶血性レンサ球菌咽頭炎","273","177","450","260"
"感染性胃腸炎","937","806","1743","260"
"水痘","13","21","34","260"
"手足口病","106","85","191","260"
"伝染性紅斑","4","7","11","260"
"突発性発しん","46","37","83","260"
"ヘルパンギーナ","813","771","1584","260"
"流行性耳下腺炎","12","4","16","260"
"不明発しん症","13","18","31","260"
"川崎病","1","2","3","260"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","6","2","8","38"
"細菌性髄膜炎","1","0","1","25"
"無菌性髄膜炎","1","0","1","25"
"マイコプラズマ肺炎","0","0","0","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","0","2","2","25"
