"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2003年16週
"集計期間終了週",2003年16週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","3","4","7","178"
"RSウイルス感染症","0","0","0","142"
"咽頭結膜熱","9","7","16","142"
"Ａ群溶血性レンサ球菌咽頭炎","45","39","84","142"
"感染性胃腸炎","344","368","712","142"
"水痘","45","62","107","142"
"手足口病","9","6","15","142"
"伝染性紅斑","17","25","42","142"
"突発性発しん","43","34","77","142"
"百日咳","1","0","1","142"
"風しん","1","1","2","142"
"ヘルパンギーナ","5","5","10","142"
"麻しん（成人麻しん以外）","6","8","14","142"
"流行性耳下腺炎","18","10","28","142"
"不明発しん症","4","9","13","142"
"川崎病","1","0","1","142"
"急性出血性結膜炎","1","1","2","14"
"流行性角結膜炎","7","5","12","14"
"急性脳炎(日本脳炎を除く)","0","0","0","25"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","2","1","3","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"成人麻しん","6","4","10","25"
