"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2024年35週
"集計期間終了週",2024年35週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","74","56","130","416"
"新型コロナウイルス感染症（COVID-19）","917","1070","1987","416"
"RSウイルス感染症","30","38","68","263"
"咽頭結膜熱","32","24","56","263"
"Ａ群溶血性レンサ球菌咽頭炎","183","161","344","263"
"感染性胃腸炎","411","319","730","263"
"水痘","10","9","19","263"
"手足口病","887","702","1589","263"
"伝染性紅斑","91","84","175","263"
"突発性発しん","48","45","93","263"
"ヘルパンギーナ","95","99","194","263"
"流行性耳下腺炎","8","4","12","263"
"不明発しん症","2","2","4","263"
"川崎病","0","0","0","263"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","7","7","14","38"
"細菌性髄膜炎","0","1","1","25"
"無菌性髄膜炎","2","0","2","25"
"マイコプラズマ肺炎","31","27","58","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"感染性胃腸炎（ロタウイルス）","1","0","1","25"
"インフルエンザ入院","4","5","9","25"
"COVID-19入院","84","61","145","25"
