"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2009年17週
"集計期間終了週",2009年17週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","296","313","609","286"
"RSウイルス感染症","5","1","6","147"
"咽頭結膜熱","26","15","41","147"
"Ａ群溶血性レンサ球菌咽頭炎","162","134","296","147"
"感染性胃腸炎","527","449","976","147"
"水痘","80","70","150","147"
"手足口病","3","6","9","147"
"伝染性紅斑","15","10","25","147"
"突発性発しん","49","55","104","147"
"百日咳","0","2","2","147"
"ヘルパンギーナ","7","2","9","147"
"流行性耳下腺炎","50","46","96","147"
"不明発しん症","5","6","11","147"
"川崎病","1","0","1","147"
"急性出血性結膜炎","1","1","2","37"
"流行性角結膜炎","5","7","12","37"
"細菌性髄膜炎","2","0","2","24"
"無菌性髄膜炎","0","1","1","24"
"マイコプラズマ肺炎","2","4","6","24"
"クラミジア肺炎(オウム病は除く)","0","0","0","24"
