"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2025年14週
"集計期間終了週",2025年14週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","251","244","495","419"
"新型コロナウイルス感染症（COVID-19）","250","289","539","419"
"RSウイルス感染症","39","41","80","264"
"咽頭結膜熱","21","14","35","264"
"Ａ群溶血性レンサ球菌咽頭炎","367","273","640","264"
"感染性胃腸炎","855","804","1659","264"
"水痘","71","50","121","264"
"手足口病","5","7","12","264"
"伝染性紅斑","58","50","108","264"
"突発性発しん","26","32","58","264"
"ヘルパンギーナ","0","2","2","264"
"流行性耳下腺炎","4","8","12","264"
"不明発しん症","7","12","19","264"
"川崎病","1","1","2","264"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","7","7","14","39"
"細菌性髄膜炎","1","1","2","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","1","0","1","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"感染性胃腸炎（ロタウイルス）","4","2","6","25"
"インフルエンザ入院","5","2","7","25"
"COVID-19入院","31","21","52","25"
