"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2013年11月"
"集計期間終了月","2013年11月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","4","0","0","0"
"1～4歳","0","0","0","0","0","0","3","9","0","0"
"5～9歳","0","0","0","0","0","0","1","0","0","0"
"10～14歳","0","0","0","0","0","0","0","0","0","0"
"15～19歳","5","0","0","3","0","0","1","0","0","0"
"20～24歳","15","3","1","15","0","0","1","0","0","0"
"25～29歳","25","10","7","18","0","1","1","0","0","0"
"30～34歳","23","9","13","13","0","2","0","0","0","0"
"35～39歳","9","11","12","14","0","1","2","0","0","0"
"40～44歳","10","9","9","8","0","1","1","0","0","0"
"45～49歳","7","10","11","2","0","1","2","0","0","0"
"50～54歳","2","6","4","3","0","0","0","0","0","0"
"55～59歳","2","4","2","2","0","0","2","0","1","0"
"60～64歳","1","4","1","0","0","0","2","1","0","0"
"65～69歳","0","1","0","0","0","0","6","0","1","0"
"70歳以上","0","3","1","0","0","0","22","7","3","0"
"合計","99","70","61","78","0","6","48","17","5","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2013年11月"
"集計期間終了月","2013年11月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","2","2","0","0"
"1～4歳","0","0","0","0","0","0","0","8","0","0"
"5～9歳","0","0","0","0","0","0","1","4","0","0"
"10～14歳","1","0","0","0","0","0","0","1","0","0"
"15～19歳","11","1","1","2","1","0","2","0","0","0"
"20～24歳","24","5","9","8","1","0","0","0","0","0"
"25～29歳","22","5","7","5","3","0","1","1","0","0"
"30～34歳","13","5","2","3","0","0","1","0","0","0"
"35～39歳","6","7","3","0","0","0","1","0","0","0"
"40～44歳","2","1","1","2","0","0","0","0","0","0"
"45～49歳","0","2","2","0","0","0","2","0","1","0"
"50～54歳","0","2","2","0","0","1","0","0","0","0"
"55～59歳","1","0","0","0","0","0","1","1","0","0"
"60～64歳","0","3","0","0","0","0","2","0","1","0"
"65～69歳","0","0","0","0","0","0","1","0","1","0"
"70歳以上","0","1","0","0","1","0","13","2","0","0"
"合計","80","32","27","20","6","1","27","19","3","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2013年11月"
"集計期間終了月","2013年11月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","6","2","0","0"
"1～4歳","0","0","0","0","0","0","3","17","0","0"
"5～9歳","0","0","0","0","0","0","2","4","0","0"
"10～14歳","1","0","0","0","0","0","0","1","0","0"
"15～19歳","16","1","1","5","1","0","3","0","0","0"
"20～24歳","39","8","10","23","1","0","1","0","0","0"
"25～29歳","47","15","14","23","3","1","2","1","0","0"
"30～34歳","36","14","15","16","0","2","1","0","0","0"
"35～39歳","15","18","15","14","0","1","3","0","0","0"
"40～44歳","12","10","10","10","0","1","1","0","0","0"
"45～49歳","7","12","13","2","0","1","4","0","1","0"
"50～54歳","2","8","6","3","0","1","0","0","0","0"
"55～59歳","3","4","2","2","0","0","3","1","1","0"
"60～64歳","1","7","1","0","0","0","4","1","1","0"
"65～69歳","0","1","0","0","0","0","7","0","2","0"
"70歳以上","0","4","1","0","1","0","35","9","3","0"
"合計","179","102","88","98","6","7","75","36","8","0"
"定点数","54","54","54","54","54","54","25","25","25","25"


