"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2001年51週"
"集計期間終了週","2001年51週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","5","0","2","4","71","6","2","0","5","0","0","1","0","5","0","1","0","5","0","0","0","0","0","0","","","","","",""
"区南部","2","0","0","4","82","16","0","1","5","0","0","0","0","2","4","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","5","0","1","8","120","19","1","2","5","0","1","2","0","13","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区西部","0","0","0","0","75","11","1","2","2","0","0","0","0","9","0","0","0","0","0","0","0","1","0","0","","","","","",""
"区西北部","4","0","0","11","66","10","2","0","5","0","0","2","0","10","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区東北部","0","0","0","13","63","10","0","3","1","0","0","0","2","7","2","0","0","2","0","0","0","0","0","0","","","","","",""
"区東部","1","0","0","12","104","26","1","4","2","0","0","1","0","8","0","0","0","2","0","0","2","0","0","0","","","","","",""
"西多摩","0","0","0","1","43","4","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","0","0","1","74","9","1","2","4","0","0","4","0","8","0","0","1","1","0","0","0","0","0","0","","","","","",""
"北多摩西部","0","0","0","2","19","6","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","0","0","0","1","33","0","0","2","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","","","","","",""
"北多摩北部","2","0","0","1","47","4","2","1","1","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","19","0","3","58","797","121","10","17","30","0","1","10","2","77","6","1","1","11","0","0","2","1","0","0","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2001年51週"
"集計期間終了週","2001年51週"
"性別","女性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","1","0","1","1","71","5","1","0","4","0","0","1","0","2","0","1","0","2","0","0","0","0","0","0","","","","","",""
"区南部","2","0","1","1","112","17","0","1","3","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","2","0","2","4","121","13","3","2","8","0","1","2","1","15","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区西部","1","0","0","1","101","6","1","2","2","0","0","0","0","12","0","0","0","1","0","0","0","1","0","0","","","","","",""
"区西北部","3","0","1","6","53","12","1","1","4","0","0","2","0","6","0","1","0","0","0","0","0","0","0","0","","","","","",""
"区東北部","0","0","0","5","45","12","0","1","4","0","0","0","2","3","3","0","0","2","0","0","0","0","0","0","","","","","",""
"区東部","1","0","0","16","104","17","1","4","4","1","0","1","0","5","1","0","0","2","0","0","2","0","0","2","","","","","",""
"西多摩","0","0","0","1","58","3","0","1","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","0","0","3","64","12","1","2","3","0","0","5","1","2","0","0","1","1","0","0","0","0","0","0","","","","","",""
"北多摩西部","0","0","0","2","24","1","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","","","","","",""
"北多摩南部","1","0","0","2","59","2","0","2","2","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","","","","","",""
"北多摩北部","3","0","0","1","64","4","2","1","1","0","0","1","0","7","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","14","0","5","43","876","104","10","17","35","1","1","12","4","61","5","2","1","11","0","0","2","1","0","2","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2001年51週"
"集計期間終了週","2001年51週"
"性別","男女合計"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
