"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2008年39週
"集計期間終了週",2008年39週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","5","5","10","285"
"RSウイルス感染症","33","23","56","147"
"咽頭結膜熱","21","12","33","147"
"Ａ群溶血性レンサ球菌咽頭炎","87","90","177","147"
"感染性胃腸炎","277","194","471","147"
"水痘","43","31","74","147"
"手足口病","100","75","175","147"
"伝染性紅斑","4","6","10","147"
"突発性発しん","61","49","110","147"
"百日咳","1","3","4","147"
"ヘルパンギーナ","60","41","101","147"
"流行性耳下腺炎","39","36","75","147"
"不明発しん症","10","5","15","147"
"川崎病","3","1","4","147"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","8","8","16","39"
"細菌性髄膜炎","0","0","0","24"
"無菌性髄膜炎","0","0","0","24"
"マイコプラズマ肺炎","4","5","9","24"
"クラミジア肺炎(オウム病は除く)","1","0","1","24"
