"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2020年9週
"集計期間終了週",2020年9週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","749","741","1490","416"
"RSウイルス感染症","31","25","56","262"
"咽頭結膜熱","31","20","51","262"
"Ａ群溶血性レンサ球菌咽頭炎","400","340","740","262"
"感染性胃腸炎","665","629","1294","262"
"水痘","63","57","120","262"
"手足口病","4","8","12","262"
"伝染性紅斑","7","5","12","262"
"突発性発しん","26","33","59","262"
"ヘルパンギーナ","4","5","9","262"
"流行性耳下腺炎","6","6","12","262"
"不明発しん症","3","3","6","262"
"川崎病","2","1","3","262"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","3","1","4","38"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","2","0","2","25"
"マイコプラズマ肺炎","4","7","11","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","5","6","11","25"
