"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2000年52週
"集計期間終了週",2000年52週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","25","17","42","178"
"RSウイルス感染症","0","0","0","142"
"咽頭結膜熱","3","6","9","142"
"Ａ群溶血性レンサ球菌咽頭炎","34","34","68","142"
"感染性胃腸炎","799","771","1570","142"
"水痘","88","100","188","142"
"手足口病","16","13","29","142"
"伝染性紅斑","35","20","55","142"
"突発性発しん","28","26","54","142"
"百日咳","1","2","3","142"
"風しん","2","0","2","142"
"ヘルパンギーナ","4","3","7","142"
"麻しん（成人麻しん以外）","5","3","8","142"
"流行性耳下腺炎","89","91","180","142"
"不明発しん症","1","2","3","142"
"川崎病","0","0","0","142"
"急性出血性結膜炎","1","0","1","14"
"流行性角結膜炎","21","16","37","14"
"急性脳炎(日本脳炎を除く)","0","0","0","25"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","0","0","0","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"成人麻しん","0","0","0","25"
