"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2017年50週
"集計期間終了週",2017年50週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","1826","1930","3756","416"
"RSウイルス感染症","46","42","88","262"
"咽頭結膜熱","110","87","197","262"
"Ａ群溶血性レンサ球菌咽頭炎","572","492","1064","262"
"感染性胃腸炎","1777","1597","3374","262"
"水痘","102","103","205","262"
"手足口病","85","68","153","262"
"伝染性紅斑","19","11","30","262"
"突発性発しん","56","74","130","262"
"百日咳","2","0","2","262"
"ヘルパンギーナ","10","4","14","262"
"流行性耳下腺炎","20","11","31","262"
"不明発しん症","7","7","14","262"
"川崎病","1","3","4","262"
"急性出血性結膜炎","0","1","1","39"
"流行性角結膜炎","13","14","27","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","2","2","4","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","1","1","25"
"インフルエンザ入院","15","6","21","25"
