"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2017年42週
"集計期間終了週",2017年42週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","51","48","99","415"
"RSウイルス感染症","72","60","132","263"
"咽頭結膜熱","48","41","89","263"
"Ａ群溶血性レンサ球菌咽頭炎","288","236","524","263"
"感染性胃腸炎","548","467","1015","263"
"水痘","53","47","100","263"
"手足口病","337","286","623","263"
"伝染性紅斑","8","8","16","263"
"突発性発しん","56","63","119","263"
"百日咳","2","1","3","263"
"ヘルパンギーナ","70","76","146","263"
"流行性耳下腺炎","33","19","52","263"
"不明発しん症","13","14","27","263"
"川崎病","2","2","4","263"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","15","7","22","39"
"細菌性髄膜炎","2","0","2","25"
"無菌性髄膜炎","1","0","1","25"
"マイコプラズマ肺炎","3","3","6","25"
"クラミジア肺炎(オウム病は除く)","0","1","1","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","0","0","0","25"
