"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2025年9月"
"集計期間終了月","2025年9月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","4","0","0"
"1～4歳","0","0","0","0","0","0","2","0","0"
"5～9歳","0","0","0","0","0","0","1","0","0"
"10～14歳","0","0","0","0","0","0","0","0","0"
"15～19歳","2","0","1","0","0","0","0","0","0"
"20～24歳","18","3","3","6","0","0","0","0","0"
"25～29歳","36","2","6","17","0","0","0","0","0"
"30～34歳","14","4","7","12","0","0","1","0","0"
"35～39歳","13","3","7","10","0","0","1","0","0"
"40～44歳","13","2","3","6","1","0","1","0","0"
"45～49歳","7","6","3","3","0","0","0","0","0"
"50～54歳","9","1","3","5","0","0","0","0","0"
"55～59歳","8","2","4","4","0","0","1","0","0"
"60～64歳","2","3","3","1","0","0","1","0","0"
"65～69歳","1","0","1","0","0","0","4","0","0"
"70歳以上","0","0","1","0","0","0","25","2","0"
"合計","123","26","42","64","1","0","41","2","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2025年9月"
"集計期間終了月","2025年9月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","1","0","0"
"1～4歳","0","0","0","0","0","0","1","0","0"
"5～9歳","0","0","0","0","0","0","1","0","0"
"10～14歳","0","0","0","0","0","0","1","0","0"
"15～19歳","5","2","1","0","1","0","0","0","0"
"20～24歳","30","0","6","5","2","0","1","0","0"
"25～29歳","20","5","4","4","2","0","1","0","0"
"30～34歳","11","6","2","4","0","0","0","0","0"
"35～39歳","5","4","1","2","2","0","2","0","0"
"40～44歳","1","2","0","2","0","0","1","0","0"
"45～49歳","5","4","0","6","1","0","1","1","0"
"50～54歳","2","1","2","1","0","0","0","0","0"
"55～59歳","1","2","1","1","0","0","1","0","0"
"60～64歳","1","0","0","1","0","0","1","0","0"
"65～69歳","0","0","0","0","0","0","1","0","0"
"70歳以上","0","1","0","0","0","0","11","0","0"
"合計","81","27","17","26","8","0","24","1","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2025年9月"
"集計期間終了月","2025年9月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","5","0","0"
"1～4歳","0","0","0","0","0","0","3","0","0"
"5～9歳","0","0","0","0","0","0","2","0","0"
"10～14歳","0","0","0","0","0","0","1","0","0"
"15～19歳","7","2","2","0","1","0","0","0","0"
"20～24歳","48","3","9","11","2","0","1","0","0"
"25～29歳","56","7","10","21","2","0","1","0","0"
"30～34歳","25","10","9","16","0","0","1","0","0"
"35～39歳","18","7","8","12","2","0","3","0","0"
"40～44歳","14","4","3","8","1","0","2","0","0"
"45～49歳","12","10","3","9","1","0","1","1","0"
"50～54歳","11","2","5","6","0","0","0","0","0"
"55～59歳","9","4","5","5","0","0","2","0","0"
"60～64歳","3","3","3","2","0","0","2","0","0"
"65～69歳","1","0","1","0","0","0","5","0","0"
"70歳以上","0","1","1","0","0","0","36","2","0"
"合計","204","53","59","90","9","0","65","3","0"
"定点数","55","55","55","55","55","55","25","25","25"


