"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2023年26週"
"集計期間終了週","2023年26週"
"性別","男性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"～5ヶ月","2","10","45","0","0","6","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"～1歳","2","16","57","1","0","36","0","4","0","10","59","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","6","14","132","16","5","71","0","18","0","19","246","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","6","13","65","9","8","75","0","10","2","2","197","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","8","11","44","7","21","92","3","18","1","3","186","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","7","9","18","14","36","68","1","13","0","0","174","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","18","8","9","5","37","66","1","11","0","0","116","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","13","18","4","2","35","61","2","3","0","0","68","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","24","14","3","6","32","46","1","2","0","0","36","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","21","18","1","0","23","39","2","2","0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
