"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2017年33週
"集計期間終了週",2017年33週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","13","16","29","379"
"RSウイルス感染症","248","212","460","227"
"咽頭結膜熱","76","54","130","227"
"Ａ群溶血性レンサ球菌咽頭炎","114","89","203","227"
"感染性胃腸炎","359","285","644","227"
"水痘","27","23","50","227"
"手足口病","981","848","1829","227"
"伝染性紅斑","2","8","10","227"
"突発性発しん","54","39","93","227"
"百日咳","0","1","1","227"
"ヘルパンギーナ","139","157","296","227"
"流行性耳下腺炎","14","18","32","227"
"不明発しん症","11","12","23","227"
"川崎病","1","1","2","227"
"急性出血性結膜炎","1","0","1","36"
"流行性角結膜炎","10","10","20","36"
"細菌性髄膜炎","1","1","2","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","2","1","3","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","2","2","25"
"インフルエンザ入院","1","0","1","25"
