"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2019年24週
"集計期間終了週",2019年24週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","46","41","87","412"
"RSウイルス感染症","39","45","84","259"
"咽頭結膜熱","93","70","163","259"
"Ａ群溶血性レンサ球菌咽頭炎","384","335","719","259"
"感染性胃腸炎","847","760","1607","259"
"水痘","76","57","133","259"
"手足口病","224","204","428","259"
"伝染性紅斑","42","37","79","259"
"突発性発しん","85","84","169","259"
"ヘルパンギーナ","68","59","127","259"
"流行性耳下腺炎","21","11","32","259"
"不明発しん症","11","11","22","259"
"川崎病","1","2","3","259"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","9","11","20","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","1","2","3","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","3","0","3","25"
"インフルエンザ入院","0","1","1","25"
