"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2025年2週"
"集計期間終了週","2025年2週"
"性別","男性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","271","39","4","1","13","70","7","1","25","3","0","2","0","0","0","1","0","1","3","0","0","15","12","","","","","",""
"区南部","271","47","6","7","9","73","4","2","24","6","0","0","0","0","0","0","0","0","0","0","0","1","0","","","","","",""
"区西南部","307","54","1","0","19","61","8","1","19","2","0","0","0","0","0","2","0","1","1","0","0","15","3","","","","","",""
"区西部","360","57","7","1","18","59","10","1","17","0","0","0","0","3","0","3","0","0","3","0","0","11","7","","","","","",""
"区西北部","599","96","6","0","53","90","7","4","39","2","0","1","3","0","0","5","0","0","0","0","0","2","1","","","","","",""
"区東北部","463","88","12","4","20","92","10","3","36","3","0","0","1","1","0","1","0","0","1","0","0","7","6","","","","","",""
"区東部","510","89","6","0","18","90","12","1","49","1","0","1","2","0","0","5","0","0","1","0","0","7","1","","","","","",""
"西多摩","130","30","0","0","0","21","4","0","4","1","0","0","0","0","0","0","0","0","1","0","0","6","0","","","","","",""
"南多摩","669","93","6","0","15","80","5","4","54","8","1","1","0","0","0","2","0","0","0","0","0","5","17","","","","","",""
"北多摩西部","197","38","1","1","13","34","4","1","16","2","0","0","1","0","0","1","0","0","0","0","0","3","1","","","","","",""
"北多摩南部","427","78","5","1","26","84","15","2","25","1","0","0","0","0","0","0","0","0","1","0","0","10","12","","","","","",""
"北多摩北部","286","31","0","3","28","56","8","1","41","5","0","0","0","0","0","0","0","1","1","0","0","22","12","","","","","",""
"島しょ","52","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","","","","","",""
"合計","4542","746","54","18","232","810","94","21","349","34","1","5","7","4","0","20","0","3","12","0","0","106","77","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2025年2週"
"集計期間終了週","2025年2週"
"性別","女性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","291","52","2","1","14","55","15","2","15","3","2","1","0","0","0","1","0","1","3","0","0","12","4","","","","","",""
"区南部","282","53","3","6","5","57","7","1","9","2","0","0","0","0","1","1","0","0","1","0","0","2","0","","","","","",""
"区西南部","292","51","1","0","9","51","8","1","24","2","0","0","0","0","0","3","0","1","1","0","0","11","6","","","","","",""
"区西部","370","67","4","1","15","75","1","3","24","1","0","0","0","3","0","1","0","0","2","0","0","9","10","","","","","",""
"区西北部","686","115","5","1","35","95","8","1","51","2","0","1","2","2","1","5","0","0","3","0","0","2","1","","","","","",""
"区東北部","514","96","10","4","15","70","10","3","25","3","0","0","1","1","0","1","0","0","1","0","0","8","1","","","","","",""
"区東部","513","75","2","0","18","69","10","2","40","1","0","2","1","0","0","4","0","0","1","0","0","6","4","","","","","",""
"西多摩","132","33","0","0","1","22","2","0","2","1","0","0","0","0","0","0","0","0","1","0","0","2","2","","","","","",""
"南多摩","599","98","1","3","20","64","2","4","30","7","1","1","1","0","0","2","0","0","0","0","0","3","7","","","","","",""
"北多摩西部","221","43","1","1","9","21","1","1","11","1","0","0","1","0","0","1","0","0","1","0","0","1","1","","","","","",""
"北多摩南部","411","74","3","1","21","73","5","2","22","1","0","1","0","0","0","1","0","0","2","0","0","14","3","","","","","",""
"北多摩北部","272","49","2","2","15","53","2","1","38","2","0","0","0","0","0","0","0","1","3","0","0","23","8","","","","","",""
"島しょ","41","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","","","","","",""
"合計","4624","815","34","20","177","705","71","21","291","26","3","6","6","6","2","20","0","3","19","0","0","94","52","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2025年2週"
"集計期間終了週","2025年2週"
"性別","男女合計"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","562","91","6","1","27","125","22","3","40","6","2","3","0","0","0","1","0","1","3","0","0","27","16","32","20","2","4","4","4"
"区南部","553","100","9","13","14","130","11","3","33","8","0","0","0","0","1","1","0","0","1","0","0","3","0","33","21","3","1","1","1"
"区西南部","599","105","1","0","28","112","8","2","43","4","0","0","0","0","0","5","0","1","2","0","0","26","9","40","25","4","3","3","3"
"区西部","730","124","11","1","33","134","11","4","41","1","0","0","0","3","0","4","0","0","5","0","0","20","17","39","25","4","4","4","4"
"区西北部","1285","211","11","1","88","185","15","5","90","4","0","1","5","2","1","10","0","0","3","0","0","4","2","56","35","6","2","2","2"
"区東北部","977","184","22","8","35","162","20","6","61","6","0","0","1","2","0","1","0","0","2","0","0","15","7","40","25","4","1","1","1"
"区東部","1023","164","8","0","36","159","22","3","89","1","0","3","3","0","0","9","0","0","1","0","0","13","5","41","26","4","1","1","1"
"西多摩","262","63","0","0","1","43","6","0","6","1","0","0","0","0","0","0","0","0","1","0","0","8","2","14","8","1","1","1","1"
