"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2025年1月"
"集計期間終了月","2025年1月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","2","0","0"
"1～4歳","0","0","0","0","0","0","1","0","0"
"5～9歳","0","0","0","0","0","0","0","0","0"
"10～14歳","0","0","0","0","0","0","0","0","0"
"15～19歳","2","0","0","2","0","0","0","1","0"
"20～24歳","12","4","2","4","0","0","0","0","0"
"25～29歳","26","4","6","1","0","0","0","0","0"
"30～34歳","23","4","3","5","0","0","0","0","0"
"35～39歳","16","1","5","7","0","0","1","0","0"
"40～44歳","10","1","6","0","0","0","0","0","0"
"45～49歳","6","1","4","1","0","0","0","0","0"
"50～54歳","6","2","0","0","0","0","2","0","0"
"55～59歳","6","0","3","1","0","0","2","0","0"
"60～64歳","1","0","0","0","0","0","2","0","0"
"65～69歳","1","0","0","0","0","0","3","1","0"
"70歳以上","0","0","0","0","0","0","22","4","0"
"合計","109","17","29","21","0","0","35","6","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2025年1月"
"集計期間終了月","2025年1月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","2","0","0"
"1～4歳","0","0","0","0","0","0","1","0","0"
"5～9歳","0","0","0","0","0","0","0","0","0"
"10～14歳","0","0","0","0","0","0","0","0","0"
"15～19歳","6","0","1","1","0","0","0","0","0"
"20～24歳","31","1","10","5","0","0","1","0","0"
"25～29歳","21","1","3","5","2","0","0","0","0"
"30～34歳","12","1","1","3","0","0","0","0","0"
"35～39歳","8","0","1","2","0","0","2","0","0"
"40～44歳","2","1","0","1","0","0","1","1","0"
"45～49歳","1","0","0","1","0","0","0","0","0"
"50～54歳","1","0","2","3","0","0","0","0","0"
"55～59歳","1","0","1","1","0","0","3","0","0"
"60～64歳","0","0","0","0","0","0","1","1","0"
"65～69歳","0","0","0","0","0","0","1","1","0"
"70歳以上","0","1","0","0","0","0","17","2","0"
"合計","83","5","19","22","2","0","29","5","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2025年1月"
"集計期間終了月","2025年1月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","4","0","0"
"1～4歳","0","0","0","0","0","0","2","0","0"
"5～9歳","0","0","0","0","0","0","0","0","0"
"10～14歳","0","0","0","0","0","0","0","0","0"
"15～19歳","8","0","1","3","0","0","0","1","0"
"20～24歳","43","5","12","9","0","0","1","0","0"
"25～29歳","47","5","9","6","2","0","0","0","0"
"30～34歳","35","5","4","8","0","0","0","0","0"
"35～39歳","24","1","6","9","0","0","3","0","0"
"40～44歳","12","2","6","1","0","0","1","1","0"
"45～49歳","7","1","4","2","0","0","0","0","0"
"50～54歳","7","2","2","3","0","0","2","0","0"
"55～59歳","7","0","4","2","0","0","5","0","0"
"60～64歳","1","0","0","0","0","0","3","1","0"
"65～69歳","1","0","0","0","0","0","4","2","0"
"70歳以上","0","1","0","0","0","0","39","6","0"
"合計","192","22","48","43","2","0","64","11","0"
"定点数","53","53","53","53","53","53","25","25","25"


