"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2025年10週"
"集計期間終了週","2025年10週"
"性別","男性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","4","9","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","","","","","",""
"中央区","1","5","0","0","4","18","0","0","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"みなと","13","4","0","0","17","57","0","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","1","","","","","",""
"新宿区","3","6","2","0","8","34","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","","","","","",""
"文京","5","10","1","0","6","44","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","3","","","","","",""
"台東","12","9","0","1","3","59","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","5","11","2","0","8","29","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","2","","","","","",""
"江東区","15","11","5","1","15","82","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","10","11","4","0","8","36","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","5","9","4","0","6","26","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","27","18","3","0","25","95","1","0","3","2","0","0","10","0","0","0","0","0","0","0","0","1","1","","","","","",""
"世田谷","23","23","3","0","22","97","3","1","7","1","0","2","0","0","0","1","0","0","0","0","0","1","0","","","","","",""
"渋谷区","5","1","0","0","3","14","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"中野区","16","13","1","0","22","59","2","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","12","21","4","1","5","67","7","0","0","1","0","2","0","3","0","0","0","0","0","0","0","0","2","","","","","",""
"池袋","5","10","1","0","5","35","7","0","0","0","0","0","0","0","0","3","0","0","0","0","4","0","0","","","","","",""
"北区","10","20","2","0","12","70","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","18","11","5","0","13","41","1","1","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","15","20","3","2","8","78","3","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"練馬区","32","30","3","1","33","83","4","0","8","1","0","0","0","0","0","3","0","0","0","0","0","0","0","","","","","",""
"足立","14","26","9","5","7","88","2","0","6","4","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","15","12","1","0","11","49","1","0","6","0","0","0","0","0","0","0","0","0","0","0","1","0","4","","","","","",""
"江戸川","32","29","7","0","8","93","1","0","12","0","0","1","0","0","0","6","0","0","0","0","0","0","0","","","","","",""
"八王子市","8","27","7","0","18","95","4","0","8","2","0","1","0","0","0","0","0","0","0","0","0","0","4","","","","","",""
"町田市","6","15","0","0","8","47","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","8","19","0","0","1","34","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","","","","","",""
