"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2025年11週
"集計期間終了週",2025年11週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","430","435","865","418"
"新型コロナウイルス感染症（COVID-19）","506","627","1133","418"
"RSウイルス感染症","84","57","141","263"
"咽頭結膜熱","14","17","31","263"
"Ａ群溶血性レンサ球菌咽頭炎","365","258","623","263"
"感染性胃腸炎","1760","1552","3312","263"
"水痘","87","58","145","263"
"手足口病","7","5","12","263"
"伝染性紅斑","124","106","230","263"
"突発性発しん","34","25","59","263"
"ヘルパンギーナ","2","2","4","263"
"流行性耳下腺炎","4","4","8","263"
"不明発しん症","5","4","9","263"
"川崎病","2","0","2","263"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","12","8","20","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","2","1","3","25"
"クラミジア肺炎(オウム病は除く)","0","1","1","25"
"感染性胃腸炎（ロタウイルス）","4","3","7","25"
"インフルエンザ入院","5","3","8","25"
"COVID-19入院","47","32","79","25"
