"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2025年4月"
"集計期間終了月","2025年4月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","13","8","12","4","0","0","2","0","0","",""
"区南部","42","6","7","10","0","0","3","0","0","",""
"区西南部","11","2","2","7","0","0","3","0","0","",""
"区西部","43","9","4","10","0","0","9","0","0","",""
"区西北部","12","1","4","2","0","0","2","1","1","",""
"区東北部","0","0","0","0","0","0","0","0","0","",""
"区東部","12","3","6","8","1","0","2","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","2","0","0","",""
"北多摩西部","1","0","0","0","0","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","5","2","1","",""
"北多摩北部","0","0","0","0","0","0","1","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","134","29","35","41","1","0","29","3","2","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2025年4月"
"集計期間終了月","2025年4月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","17","2","4","5","0","0","2","0","0","",""
"区南部","25","5","1","4","2","0","0","0","0","",""
"区西南部","10","7","5","0","2","0","2","0","0","",""
"区西部","12","7","3","2","0","0","6","0","0","",""
"区西北部","6","1","2","2","2","0","2","0","0","",""
"区東北部","7","0","0","1","0","0","0","0","0","",""
"区東部","6","2","1","1","1","0","1","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","1","",""
"南多摩","8","0","1","0","0","0","0","0","0","",""
"北多摩西部","7","0","0","1","0","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","5","0","0","",""
"北多摩北部","1","0","0","0","0","0","0","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","99","24","17","16","7","0","18","0","1","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2025年4月"
"集計期間終了月","2025年4月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","30","10","16","9","0","0","4","0","0","10","4"
"区南部","67","11","8","14","2","0","3","0","0","3","1"
"区西南部","21","9","7","7","2","0","5","0","0","5","3"
"区西部","55","16","7","12","0","0","15","0","0","11","4"
"区西北部","18","2","6","4","2","0","4","1","1","6","2"
"区東北部","7","0","0","1","0","0","0","0","0","3","1"
"区東部","18","5","7","9","2","0","3","0","0","6","1"
"西多摩","0","0","0","0","0","0","0","0","1","0","1"
"南多摩","8","0","1","0","0","0","2","0","0","5","1"
"北多摩西部","8","0","0","1","0","0","0","0","0","2","1"
"北多摩南部","0","0","0","0","0","0","10","2","1","3","3"
"北多摩北部","1","0","0","0","0","0","1","0","0","1","2"
"島しょ","0","0","0","0","0","0","0","0","0","0","1"
"合計","233","53","52","57","8","0","47","3","3","55","25"


