"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2025年3週
"集計期間終了週",2025年3週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","2131","2166","4297","418"
"新型コロナウイルス感染症（COVID-19）","564","646","1210","418"
"RSウイルス感染症","48","45","93","263"
"咽頭結膜熱","16","11","27","263"
"Ａ群溶血性レンサ球菌咽頭炎","253","211","464","263"
"感染性胃腸炎","849","723","1572","263"
"水痘","32","25","57","263"
"手足口病","8","11","19","263"
"伝染性紅斑","305","305","610","263"
"突発性発しん","33","20","53","263"
"ヘルパンギーナ","2","1","3","263"
"流行性耳下腺炎","4","3","7","263"
"不明発しん症","1","4","5","263"
"川崎病","0","2","2","263"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","6","14","20","39"
"細菌性髄膜炎","1","0","1","25"
"無菌性髄膜炎","0","1","1","25"
"マイコプラズマ肺炎","9","6","15","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","44","42","86","25"
"COVID-19入院","76","49","125","25"
