"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2025年4週"
"集計期間終了週","2025年4週"
"性別","男性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","7","8","0","0","1","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"中央区","13","4","0","0","1","21","0","0","1","1","0","0","0","0","0","2","0","0","0","0","0","0","0","","","","","",""
"みなと","9","10","1","2","8","26","1","1","2","1","0","0","0","0","0","0","0","0","0","0","0","3","4","","","","","",""
"新宿区","22","14","1","1","6","20","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","","","","","",""
"文京","29","9","0","0","0","18","3","0","5","2","0","1","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"台東","10","2","1","0","5","50","8","3","12","3","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","27","13","1","1","11","10","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","3","3","","","","","",""
"江東区","62","22","8","0","5","62","4","1","13","2","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","34","13","1","0","7","30","2","0","4","1","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","21","9","4","0","4","19","1","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","56","45","5","2","14","69","2","2","12","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","63","35","3","0","19","49","2","0","12","5","0","1","1","0","0","1","0","0","1","0","0","3","5","","","","","",""
"渋谷区","8","8","0","0","7","13","0","0","5","0","0","0","0","0","0","1","0","0","0","0","0","1","1","","","","","",""
"中野区","39","18","0","0","12","36","1","0","11","2","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","42","16","4","0","7","24","1","0","15","0","0","1","0","1","0","0","0","0","2","0","0","2","4","","","","","",""
"池袋","28","13","1","0","3","12","2","1","2","0","0","0","0","1","0","1","0","0","0","0","0","0","0","","","","","",""
"北区","46","20","2","1","7","28","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","30","29","12","0","14","28","1","0","11","4","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","45","24","4","3","13","23","3","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","6","","","","","",""
"練馬区","68","31","2","1","27","35","2","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","67","51","5","7","17","52","2","0","14","3","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","13","19","5","0","6","26","2","0","10","2","0","0","0","0","0","0","0","0","2","0","0","0","1","","","","","",""
"江戸川","79","27","1","3","19","49","1","0","24","0","0","0","1","0","0","1","0","0","0","0","0","0","0","","","","","",""
"八王子市","89","54","1","1","14","70","0","1","12","1","0","0","0","0","0","1","0","0","0","0","0","0","19","","","","","",""
"町田市","38","12","0","0","6","26","1","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","45","23","0","0","6","16","1","0","2","0","0","0","0","0","0","0","0","0","2","0","0","1","3","","","","","",""
"南多摩","48","31","1","0","6","32","1","0","12","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","64","31","1","2","21","37","1","0","16","0","1","1","0","0","0","1","0","0","0","0","0","0","1","","","","","",""
"多摩府中","168","66","5","2","42","102","4","1","22","0","0","0","0","0","0","1","0","0","1","0","0","5","8","","","","","",""
"多摩小平","86","44","7","2","23","85","6","0","36","3","0","1","0","2","0","0","0","0","0","0","0","3","9","","","","","",""
"島しょ","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","1362","703","76","28","331","1073","52","10","315","33","1","8","2","6","0","10","0","0","8","0","0","21","69","","","","","",""


"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2025年4週"
"集計期間終了週","2025年4週"
"性別","女性"

