"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2025年4週"
"集計期間終了週","2025年4週"
"性別","男性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）","ＩＣＵ入室（COVID-19入院）","人工呼吸器の利用（COVID-19入院）","いずれにも該当せず（COVID-19入院）"
"～5ヶ月","3","9","12","0","0","6","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"～1歳","14","17","5","1","0","51","0","1","1","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","33","20","30","10","12","147","0","4","17","13","0","0","0","2","0","0","0","0","0","0","0","2","0","0","0","1","0","0","1","1","0","0","0"
"2歳","57","11","13","6","18","116","1","1","23","3","0","1","0","0","0","0","0","0","0","0","0","3","0","0","0","2","0","0","1","2","0","0","0"
"3歳","51","15","8","2","24","94","3","2","37","4","0","1","0","2","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"4歳","65","20","2","2","36","96","3","1","46","4","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"5歳","77","10","4","0","30","75","2","1","56","0","0","1","0","2","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","1","0","0","0"
"6歳","89","20","1","4","41","73","3","0","58","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2"
"7歳","85","18","0","1","44","65","8","0","30","0","0","1","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"8歳","76","13","0","1","37","53","11","0","21","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"9歳","69","11","0","0","22","51","7","0","11","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10～14歳","228","90","1","1","58","146","12","0","14","0","0","1","0","0","0","2","0","0","1","0","0","1","2","0","0","0","0","0","1","0","0","0","2"
"15～19歳","94","56","0","0","5","35","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
