"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2025年8月"
"集計期間終了月","2025年8月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","3","0","0"
"1～4歳","0","0","0","0","0","0","2","1","0"
"5～9歳","0","0","0","0","0","0","4","0","0"
"10～14歳","0","0","0","0","0","0","1","0","0"
"15～19歳","0","0","0","0","0","0","0","0","0"
"20～24歳","24","1","4","7","0","0","1","0","0"
"25～29歳","26","6","4","7","0","0","0","0","0"
"30～34歳","18","3","8","5","0","0","0","0","0"
"35～39歳","13","3","8","5","0","0","0","0","0"
"40～44歳","18","1","3","4","1","0","3","0","0"
"45～49歳","8","0","5","5","0","0","3","0","0"
"50～54歳","7","0","1","4","0","0","0","0","0"
"55～59歳","1","3","7","1","0","0","0","0","1"
"60～64歳","2","1","3","1","1","0","4","0","0"
"65～69歳","1","0","0","1","0","0","2","0","0"
"70歳以上","0","0","0","0","1","0","19","0","1"
"合計","118","18","43","40","3","0","42","1","2"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2025年8月"
"集計期間終了月","2025年8月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","1","0","0"
"1～4歳","0","0","0","0","0","0","1","1","0"
"5～9歳","0","0","0","0","0","0","1","0","0"
"10～14歳","0","0","0","0","0","0","1","0","0"
"15～19歳","10","1","0","2","1","0","0","0","0"
"20～24歳","27","4","6","3","0","0","1","0","0"
"25～29歳","28","2","7","4","1","0","1","0","0"
"30～34歳","7","5","0","1","1","0","0","0","0"
"35～39歳","6","2","1","1","0","0","2","0","0"
"40～44歳","5","1","0","2","1","0","0","1","0"
"45～49歳","3","1","0","0","2","0","0","0","0"
"50～54歳","2","1","2","1","0","0","0","0","0"
"55～59歳","0","2","0","0","0","0","2","0","0"
"60～64歳","0","1","0","0","0","0","1","0","0"
"65～69歳","0","0","0","0","1","0","2","0","0"
"70歳以上","0","0","0","0","0","0","17","0","2"
"合計","88","20","16","14","7","0","30","2","2"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2025年8月"
"集計期間終了月","2025年8月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","4","0","0"
"1～4歳","0","0","0","0","0","0","3","2","0"
"5～9歳","0","0","0","0","0","0","5","0","0"
"10～14歳","0","0","0","0","0","0","2","0","0"
"15～19歳","10","1","0","2","1","0","0","0","0"
"20～24歳","51","5","10","10","0","0","2","0","0"
"25～29歳","54","8","11","11","1","0","1","0","0"
"30～34歳","25","8","8","6","1","0","0","0","0"
"35～39歳","19","5","9","6","0","0","2","0","0"
"40～44歳","23","2","3","6","2","0","3","1","0"
"45～49歳","11","1","5","5","2","0","3","0","0"
"50～54歳","9","1","3","5","0","0","0","0","0"
"55～59歳","1","5","7","1","0","0","2","0","1"
"60～64歳","2","2","3","1","1","0","5","0","0"
"65～69歳","1","0","0","1","1","0","4","0","0"
"70歳以上","0","0","0","0","1","0","36","0","3"
"合計","206","38","59","54","10","0","72","3","4"
"定点数","55","55","55","55","55","55","25","25","25"


