"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2025年24週
"集計期間終了週",2025年24週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","64","32","96","418"
"新型コロナウイルス感染症（COVID-19）","157","185","342","418"
"急性呼吸器感染症（ARI）","11925","11685","23610","418"
"RSウイルス感染症","13","17","30","263"
"咽頭結膜熱","87","56","143","263"
"Ａ群溶血性レンサ球菌咽頭炎","607","451","1058","263"
"感染性胃腸炎","912","768","1680","263"
"水痘","148","139","287","263"
"手足口病","26","25","51","263"
"伝染性紅斑","108","83","191","263"
"突発性発しん","48","59","107","263"
"ヘルパンギーナ","12","10","22","263"
"流行性耳下腺炎","18","11","29","263"
"不明発しん症","13","6","19","263"
"川崎病","5","3","8","263"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","12","10","22","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","1","1","25"
"マイコプラズマ肺炎","3","9","12","25"
"クラミジア肺炎(オウム病は除く)","0","1","1","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","1","2","3","25"
"COVID-19入院","23","14","37","25"
