"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2025年2月"
"集計期間終了月","2025年2月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","6","9","16","1","0","0","3","0","0","",""
"区南部","30","7","8","8","0","0","1","0","0","",""
"区西南部","5","1","4","5","0","0","2","1","0","",""
"区西部","18","4","0","6","0","0","5","1","0","",""
"区西北部","8","0","1","2","0","0","4","0","0","",""
"区東北部","0","0","0","0","0","0","0","1","0","",""
"区東部","13","2","3","7","0","0","2","0","0","",""
"西多摩","0","0","0","0","0","0","3","0","0","",""
"南多摩","0","0","0","0","0","0","3","0","0","",""
"北多摩西部","0","0","0","0","0","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","3","3","0","",""
"北多摩北部","0","0","0","0","0","0","0","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","80","23","32","29","0","0","26","6","0","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2025年2月"
"集計期間終了月","2025年2月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","15","2","3","8","2","0","0","0","1","",""
"区南部","18","3","0","5","0","0","2","0","0","",""
"区西南部","8","5","2","2","0","0","3","0","0","",""
"区西部","4","1","0","2","1","0","5","1","0","",""
"区西北部","7","2","0","0","0","0","2","0","0","",""
"区東北部","3","1","1","0","0","0","0","1","0","",""
"区東部","12","1","1","1","1","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","6","3","1","0","0","0","2","0","0","",""
"北多摩西部","7","2","0","0","0","0","0","0","0","",""
"北多摩南部","2","0","0","0","0","0","2","3","0","",""
"北多摩北部","0","0","0","0","0","0","2","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","82","20","8","18","4","0","18","5","1","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2025年2月"
"集計期間終了月","2025年2月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","21","11","19","9","2","0","3","0","1","9","4"
"区南部","48","10","8","13","0","0","3","0","0","3","1"
"区西南部","13","6","6","7","0","0","5","1","0","5","3"
"区西部","22","5","0","8","1","0","10","2","0","10","4"
"区西北部","15","2","1","2","0","0","6","0","0","6","2"
"区東北部","3","1","1","0","0","0","0","2","0","3","1"
"区東部","25","3","4","8","1","0","2","0","0","6","1"
"西多摩","0","0","0","0","0","0","3","0","0","0","1"
"南多摩","6","3","1","0","0","0","5","0","0","5","1"
"北多摩西部","7","2","0","0","0","0","0","0","0","2","1"
"北多摩南部","2","0","0","0","0","0","5","6","0","3","3"
"北多摩北部","0","0","0","0","0","0","2","0","0","1","2"
"島しょ","0","0","0","0","0","0","0","0","0","0","1"
"合計","162","43","40","47","4","0","44","11","1","53","25"


