"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2025年6週
"集計期間終了週",2025年6週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","592","537","1129","419"
"新型コロナウイルス感染症（COVID-19）","723","764","1487","419"
"RSウイルス感染症","95","87","182","264"
"咽頭結膜熱","15","22","37","264"
"Ａ群溶血性レンサ球菌咽頭炎","387","312","699","264"
"感染性胃腸炎","1407","1236","2643","264"
"水痘","53","42","95","264"
"手足口病","8","3","11","264"
"伝染性紅斑","193","186","379","264"
"突発性発しん","23","28","51","264"
"ヘルパンギーナ","0","1","1","264"
"流行性耳下腺炎","8","3","11","264"
"不明発しん症","8","8","16","264"
"川崎病","0","0","0","264"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","10","10","20","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","5","3","8","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","2","2","25"
"インフルエンザ入院","4","5","9","25"
"COVID-19入院","35","27","62","25"
