"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2025年6月"
"集計期間終了月","2025年6月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","15","4","17","5","0","0","2","0","0","",""
"区南部","57","11","6","21","1","0","3","0","0","",""
"区西南部","6","2","2","3","0","0","4","0","0","",""
"区西部","35","6","23","12","0","0","7","0","1","",""
"区西北部","9","1","9","1","0","0","4","0","0","",""
"区東北部","1","0","0","0","0","0","1","1","0","",""
"区東部","12","2","4","6","0","0","2","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","2","0","0","",""
"北多摩西部","0","0","0","0","0","0","1","0","0","",""
"北多摩南部","0","0","0","0","0","0","6","2","0","",""
"北多摩北部","0","0","0","0","0","0","2","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","135","26","61","48","1","0","34","3","1","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2025年6月"
"集計期間終了月","2025年6月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","6","7","4","8","2","0","1","0","0","",""
"区南部","19","11","0","1","2","0","2","0","0","",""
"区西南部","10","2","3","1","0","0","2","0","0","",""
"区西部","16","3","4","5","3","0","13","0","0","",""
"区西北部","10","0","0","0","1","0","1","0","0","",""
"区東北部","9","1","0","0","0","0","0","0","0","",""
"区東部","13","0","1","1","0","0","1","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","14","2","0","2","3","0","0","0","0","",""
"北多摩西部","7","0","0","0","0","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","3","2","0","",""
"北多摩北部","0","0","0","0","0","0","2","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","104","26","12","18","11","0","25","2","0","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2025年6月"
"集計期間終了月","2025年6月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","21","11","21","13","2","0","3","0","0","10","4"
"区南部","76","22","6","22","3","0","5","0","0","3","1"
"区西南部","16","4","5","4","0","0","6","0","0","5","3"
"区西部","51","9","27","17","3","0","20","0","1","11","4"
"区西北部","19","1","9","1","1","0","5","0","0","6","2"
"区東北部","10","1","0","0","0","0","1","1","0","3","1"
"区東部","25","2","5","7","0","0","3","0","0","6","1"
"西多摩","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","14","2","0","2","3","0","2","0","0","5","1"
"北多摩西部","7","0","0","0","0","0","1","0","0","2","1"
"北多摩南部","0","0","0","0","0","0","9","4","0","3","3"
"北多摩北部","0","0","0","0","0","0","4","0","0","1","2"
"島しょ","0","0","0","0","0","0","0","0","0","0","1"
"合計","239","52","73","66","12","0","59","5","1","55","25"


