"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2025年18週
"集計期間終了週",2025年18週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","120","114","234","416"
"新型コロナウイルス感染症（COVID-19）","118","137","255","416"
"急性呼吸器感染症（ARI）","10621","10104","20725","415"
"RSウイルス感染症","36","22","58","262"
"咽頭結膜熱","38","30","68","262"
"Ａ群溶血性レンサ球菌咽頭炎","430","339","769","262"
"感染性胃腸炎","886","823","1709","262"
"水痘","110","67","177","262"
"手足口病","13","12","25","262"
"伝染性紅斑","103","81","184","262"
"突発性発しん","42","43","85","262"
"ヘルパンギーナ","3","2","5","262"
"流行性耳下腺炎","16","11","27","262"
"不明発しん症","4","3","7","262"
"川崎病","6","2","8","262"
"急性出血性結膜炎","1","0","1","39"
"流行性角結膜炎","11","4","15","39"
"細菌性髄膜炎","2","0","2","25"
"無菌性髄膜炎","1","0","1","25"
"マイコプラズマ肺炎","2","2","4","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","2","0","2","25"
"インフルエンザ入院","2","1","3","25"
"COVID-19入院","16","11","27","25"
