"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2025年32週"
"集計期間終了週","2025年32週"
"性別","男性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","9","67","894","14","1","19","70","5","12","4","4","24","0","2","0","0","1","0","0","0","0","0","1","10","","","","","","",""
"区南部","1","60","499","8","2","21","50","7","11","2","1","25","0","0","0","1","0","0","0","0","0","0","0","0","","","","","","",""
"区西南部","9","69","852","4","2","16","42","4","1","4","2","27","0","2","0","0","1","0","0","1","0","0","0","8","","","","","","",""
"区西部","9","65","877","15","0","16","40","2","6","1","2","26","0","0","0","0","1","0","0","0","0","0","0","15","","","","","","",""
"区西北部","9","157","1253","14","5","39","56","11","8","5","7","24","0","2","1","0","1","0","0","1","0","0","0","3","","","","","","",""
"区東北部","4","86","1098","18","7","23","57","5","6","10","8","19","1","2","0","0","0","0","0","2","0","0","0","6","","","","","","",""
"区東部","4","91","1032","15","4","21","77","5","8","2","3","27","1","3","0","0","4","0","0","0","0","0","0","3","","","","","","",""
"西多摩","0","21","155","0","0","1","15","0","0","2","2","9","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","",""
"南多摩","3","100","1911","17","6","47","109","5","13","15","9","26","2","3","0","0","2","0","0","0","0","0","0","2","","","","","","",""
"北多摩西部","0","36","397","1","1","28","19","4","0","0","2","3","0","1","0","0","1","0","0","0","0","0","0","2","","","","","","",""
"北多摩南部","5","60","840","6","7","27","45","1","9","2","3","12","0","10","0","0","0","0","0","0","0","0","0","10","","","","","","",""
"北多摩北部","2","41","672","6","2","22","52","0","3","5","4","42","0","0","0","0","0","0","0","1","0","0","2","8","","","","","","",""
"島しょ","1","17","26","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","",""
"合計","56","870","10506","118","37","281","632","49","77","52","47","264","4","25","1","1","11","0","0","5","0","0","3","71","","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2025年32週"
"集計期間終了週","2025年32週"
"性別","女性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","3","79","897","11","1","1","63","6","8","4","3","33","0","1","1","0","1","0","0","0","0","0","1","13","","","","","","",""
"区南部","3","75","551","14","4","18","35","7","10","6","1","24","0","2","0","1","1","0","0","0","0","0","0","1","","","","","","",""
"区西南部","5","94","793","5","6","12","39","2","3","4","1","35","0","2","0","0","3","0","1","1","0","0","0","5","","","","","","",""
"区西部","14","76","855","27","1","12","28","1","6","1","3","23","1","1","1","0","1","0","1","2","0","0","1","9","","","","","","",""
"区西北部","10","183","1406","13","4","22","61","5","6","4","3","21","0","2","1","0","1","0","0","1","0","0","0","2","","","","","","",""
"区東北部","4","130","1183","19","6","19","56","5","6","2","5","17","1","3","0","0","0","0","1","2","0","0","0","2","","","","","","",""
"区東部","4","124","1111","13","9","20","50","5","10","3","7","30","1","6","1","0","3","0","0","0","0","0","0","1","","","","","","",""
"西多摩","1","33","182","0","1","3","15","1","0","2","2","4","0","0","0","0","0","0","0","0","0","0","0","2","","","","","","",""
"南多摩","6","107","1960","14","4","46","100","9","10","19","6","43","3","4","0","0","3","0","0","0","0","0","0","1","","","","","","",""
"北多摩西部","0","46","401","4","1","16","20","4","3","3","1","6","0","1","0","0","1","0","0","1","0","0","0","3","","","","","","",""
"北多摩南部","2","60","785","5","6","19","36","3","10","2","4","18","1","4","0","0","0","0","0","1","0","0","0","5","","","","","","",""
"北多摩北部","3","55","633","14","4","14","48","2","3","7","3","29","0","0","0","0","1","0","0","1","0","0","2","2","","","","","","",""
"島しょ","1","18","29","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","",""
"合計","56","1080","10786","139","47","203","551","50","75","57","39","283","7","26","4","1","15","0","3","9","0","0","4","47","","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2025年32週"
"集計期間終了週","2025年32週"
"性別","男女合計"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","12","146","1791","25","2","20","133","11","20","8","7","57","0","3","1","0","2","0","0","0","0","0","1","23","32","32","20","2","4","4","4"
"区南部","4","135","1050","22","6","39","85","7","21","8","2","49","0","2","0","1","1","0","0","0","0","0","0","1","32","32","20","3","1","1","1"
"区西南部","14","163","1645","9","8","28","81","6","4","8","3","62","0","4","0","0","4","0","1","1","0","0","0","13","40","40","25","4","3","3","3"
"区西部","23","141","1732","42","1","28","68","3","12","1","5","49","1","1","1","0","2","0","1","2","0","0","1","24","38","38","24","4","4","4","4"
"区西北部","19","340","2659","27","9","61","117","16","14","9","10","45","0","4","1","0","2","0","0","1","0","0","0","5","55","55","34","6","2","2","2"
"区東北部","4","216","2281","37","13","42","113","10","12","12","13","36","1","5","0","0","0","0","1","4","0","0","0","8","40","40","25","4","1","1","1"
"区東部","8","215","2143","28","13","41","127","10","18","5","10","57","1","9","1","0","7","0","0","0","0","0","0","4","40","40","24","4","1","1","1"
"西多摩","1","54","337","0","1","4","30","1","0","4","2","13","0","0","0","0","0","0","0","0","0","0","0","5","14","14","8","1","1","1","1"
"南多摩","9","207","3871","31","10","93","209","14","23","34","15","69","5","7","0","0","5","0","0","0","0","0","0","3","44","44","28","4","1","1","1"
"北多摩西部","0","82","798","5","1","44","39","8","3","3","3","9","0","1","0","0","2","0","0","1","0","0","0","5","20","20","13","1","1","1","1"
"北多摩南部","7","120","1625","11","13","46","81","4","19","4","7","30","1","14","0","0","0","0","0","1","0","0","0","15","33","33","21","3","3","3","3"
"北多摩北部","5","96","1305","20","6","36","100","2","6","12","7","71","0","0","0","0","1","0","0","2","0","0","2","10","23","23","15","1","2","2","2"
"島しょ","1","35","55","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","1","0","1","1","1"
"合計","107","1950","21292","257","83","483","1183","92","152","108","84","547","9","50","4","1","26","0","3","12","0","0","4","118","413","413","258","37","25","25","25"


