"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2025年23週
"集計期間終了週",2025年23週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","41","43","84","418"
"新型コロナウイルス感染症（COVID-19）","164","228","392","418"
"急性呼吸器感染症（ARI）","12280","12195","24475","418"
"RSウイルス感染症","23","10","33","263"
"咽頭結膜熱","86","51","137","263"
"Ａ群溶血性レンサ球菌咽頭炎","651","513","1164","263"
"感染性胃腸炎","977","806","1783","263"
"水痘","95","88","183","263"
"手足口病","21","23","44","263"
"伝染性紅斑","107","112","219","263"
"突発性発しん","45","41","86","263"
"ヘルパンギーナ","18","16","34","263"
"流行性耳下腺炎","13","6","19","263"
"不明発しん症","12","11","23","263"
"川崎病","2","4","6","263"
"急性出血性結膜炎","0","1","1","39"
"流行性角結膜炎","12","7","19","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","1","0","1","25"
"マイコプラズマ肺炎","1","4","5","25"
"クラミジア肺炎(オウム病は除く)","0","1","1","25"
"感染性胃腸炎（ロタウイルス）","2","0","2","25"
"インフルエンザ入院","0","1","1","25"
"COVID-19入院","24","10","34","25"
