"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2025年12週
"集計期間終了週",2025年12週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","404","406","810","418"
"新型コロナウイルス感染症（COVID-19）","432","534","966","418"
"RSウイルス感染症","77","35","112","263"
"咽頭結膜熱","16","9","25","263"
"Ａ群溶血性レンサ球菌咽頭炎","346","234","580","263"
"感染性胃腸炎","1507","1316","2823","263"
"水痘","71","59","130","263"
"手足口病","5","5","10","263"
"伝染性紅斑","91","76","167","263"
"突発性発しん","19","11","30","263"
"ヘルパンギーナ","1","2","3","263"
"流行性耳下腺炎","2","3","5","263"
"不明発しん症","3","8","11","263"
"川崎病","4","4","8","263"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","10","13","23","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","1","1","2","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"感染性胃腸炎（ロタウイルス）","3","6","9","25"
"インフルエンザ入院","9","3","12","25"
"COVID-19入院","44","24","68","25"
